City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
338,revda,56.801,59.9303,18.338000000000044,94,100,3.42,RU,1706648007
339,alta,69.9689,23.2717,43.86200000000006,67,0,4.63,NO,1706648010
340,belozersk,60.0326,37.7957,23.99000000000002,93,57,3.13,RU,1706648173
341,laramie,41.3114,-105.5911,54.95,34,0,1.54,US,1706648173
342,tucuma,-0.1833,-50.05,78.83600000000007,87,100,3.23,BR,1706648174
343,la ronge,55.1001,-105.2842,39.452000000000076,65,75,2.06,CA,1706648174
344,ayaviri,-14.8864,-70.5889,57.72200000000004,58,99,1.98,PE,1706648174
345,luau,-10.7073,22.2247,66.11000000000008,97,53,2.03,AO,1706648174
346,karmaskaly,54.3709,56.1837,21.11000000000008,96,98,3.06,RU,1706648174
347,guerrero negro,27.9769,-114.0611,73.184,36,0,4.47,MX,1706647943
348,arno,60.1167,18.6333,33.78200000000002,99,100,3.55,SE,1706648174
349,cumana,10.4635,-64.1775,80.042,78,76,2.17,VE,1706648175
350,yalova,40.655,29.2769,38.33600000000007,84,61,7.67,TR,1706648175
351,dakhla,23.6848,-15.958,66.21800000000009,72,0,4.63,EH,1706648175
352,dubbo,-32.25,148.6167,75.32600000000009,78,100,3.09,AU,1706648175
353,sambava,-14.2667,50.1667,77.25200000000008,90,99,4.03,MG,1706648175
354,seven pagodas,12.6264,80.1722,77.05400000000006,80,29,3.04,IN,1706648175
355,san luis,-33.295,-66.3356,96.908,20,55,4.59,AR,1706648176
356,maragogi,-9.0122,-35.2225,80.16800000000009,70,8,4.32,BR,1706648176
357,geraldton,-28.7667,114.6,70.21400000000003,78,0,4.63,AU,1706648176
358,yuktae-dong,40.0247,128.1597,28.202000000000076,72,27,2.48,KP,1706648176
359,santa cruz,-17.8,-63.1667,92.66000000000008,55,40,7.2,BO,1706648176
360,obo,5.3998,26.4869,74.73200000000003,31,75,2.19,CF,1706648176
361,orapa,-21.2833,25.3667,79.64600000000004,48,69,4.71,BW,1706648176
362,cidreira,-30.1811,-50.2056,75.88399999999999,69,0,5.94,BR,1706648176
363,cabo san lucas,22.8909,-109.9124,82.61600000000001,63,91,9.05,MX,1706648177
364,gongchangling,41.1167,123.45,14.468000000000085,94,100,2.59,CN,1706648177
365,harstad,68.799,16.5293,42.188000000000045,94,100,31.74,NO,1706648177
366,lesnoy,57.6198,63.0784,15.638000000000044,94,100,3.92,RU,1706648177
367,myitkyina,25.3833,97.4,52.610000000000085,68,0,1.31,MM,1706648177
368,makokou,0.5738,12.8642,78.04400000000007,64,99,1.38,GA,1706648177
